jp:1,北海道
aw,アルバ（蘭）
al,アルバニア
am,アルメニア
ai,アンギラ（英）
ao,アンゴラ
ag,アンティグア・バーブーダ
ad,アンドラ
ye,イエメン
gb,イギリス（gb）
uk,イギリス（uk）
vg,イギリス領ヴァージン諸島
il,イスラエル
it,イタリア
iq,イラク
ir,イラン
in,インド
id,インドネシア
io,インド洋地域（英）
wf,ウォリス・フツナ（仏）
ug,ウガンダ
ua,ウクライナ
uz,ウズベキスタン
uy,ウルグアイ
ec,エクアドル
eg,エジプト
ee,エストニア
et,エチオピア
er,エリトリア
sv,エルサルバドル
eu,欧州連合
au,オーストラリア
at,オーストリア
ax,オーランド諸島（芬）
om,オマーン
nl,オランダ
an,オランダ領アンティル
gh,ガーナ
cv,カーボベルデ
gg,ガーンジー島（英）
gy,ガイアナ
kz,カザフスタン
qa,カタール
ca,カナダ
ga,ガボン
kr,韓国
cm,カメルーン
gm,ガンビア
kh,カンボジア
kp,北朝鮮
mp,北マリアナ諸島（米）
gn,ギニア
gw,ギニアビサウ
cy,キプロス
td,キャド
mm,キャンマー
cu,キューバ
gr,ギリシャ
ki,キリバス
kg,キルギス
gt,グアテマラ
gp,グアドループ（仏）
gu,グアム（米）
kw,クウェート
ck,クック諸島（新）
gl,グリーンランド（丁）
cx,クリスマス島（豪）
gd,グレナダ
hr,クロアチア
ky,ケイマン諸島（英）
ke,ケニア
ci,コートジボワール
cc,ココス諸島（豪）
cr,コスタリカ
km,コモロ
co,コロンビア
cg,コンゴ共和国
cd,コンゴ民主共和国
sa,サウジアラビア
gs,サウスジョージア・サウスサンドウィッチ諸島（英）
ws,サモア
bl,サン・バルテルミー島
st,サントメ・プリンシペ
zm,ザンビア
pm,サンピエール島・ミクロン島（仏）
sm,サンマリノ
sl,シエラレオネ
dj,ジブチ
gi,ジブラルタル（英）
je,ジャージー島（英）
jm,ジャマイカ
ge,ジョージア
sy,シリア
sg,シンガポール
zw,ジンバブエ
ch,スイス
sj,スヴァールバル諸島・ヤンマイエン島（諾）
se,スウェーデン
sd,スーダン
es,スペイン
sr,スリナム
lk,スリランカ
sk,スロバキア
si,スロバニア
sz,スワジランド
gq,赤道ギアナ
sc,セーシェル
sn,セネガル
rs,セルビア
kn,セントクリストファー・ネイビス
vc,セントビンセントおよびグレナディーン諸島
sh,セントヘレナ（英）
lc,セントルシア
su,ソビエト連邦
so,ソマリア
sb,ソロモン諸島
tc,タークス・カイコス諸島（英）
th,タイ
tw,台湾
tj,タジキスタン
tz,タンザニア
cz,チェコ
cs,チェコスロバキア (former)
tn,チュニジア
cf,中央アフリカ共和国
cn,中国
cl,チリ
tv,ツバル
dg,ディエゴガルシア（英）
dk,デンマーク
de,ドイツ
tg,トーゴ
tk,トケラウ（新）
do,ドミニカ共和国
dm,ドミニカ国
tt,トリニダード・トバゴ
tm,トルクメニスタン
tr,トルコ
to,トンガ
ng,ナイジェリア
nr,ナウル
na,ナミビア
aq,南極
nu,ニウエ（新）
ni,ニカラグア
eh,西サハラ
ne,ニジュール
jp,日本
nc,ニューカレドニア（仏）
nz,ニュージーランド
np,ネパール
nf,ノーフォーク島（豪）
no,ノルウェー
hm,ハード島・マクドナルド諸島（豪）
bh,バーレーン
ht,ハイチ
pk,パキスタン
va,バチカン市国
pa,パナマ
vu,バヌアツ
bs,バハマ
pg,パプアニューギニア
bm,バミューダ諸島（英）
pw,パラオ
py,パラグアイ
bb,バルバドス
ps,パレスチナ自治区
hu,ハンガリー
bd,バングラディシュ
tl,東ティモール（tl）
tp,東ティモール（tp）
dd,東ドイツ
pn,ピトケアン諸島（英）
bu,ビルマ
fj,フィジー
ph,フィリピン
fi,フィンランド
bt,ブータン
bv,ブーベ島（諾）
pr,プエルトリコ（米）
fo,フェロー諸島（丁）
fk,フォークランド諸島（英）
br,ブラジル
fr,フランス
fx,フランス首都圏
gf,フランス領ギアナ
tf,フランス領南方・南極地域
bg,ブルガリア
bf,ブルキナファン
bn,ブルネイ
bi,ブルンジ
vn,ベトナム
bj,ベナン
ve,ベネズエラ
by,ベラルーシ
bz,ベリーズ
pe,ペルー
be,ベルギー
pl,ポーランド
ba,ボスニア・ヘルツェゴビナ
bw,ボツワナ
pf,ポリネシア（仏）
bo,ボリビア
pt,ポルトガル
hk,香港（中）
hn,ホンジュラス
mh,マーシャル諸島
mo,マカオ（中）
mk,マケドニア
mg,マダガスカル
yt,マヨット（仏）
mw,マラウイ
ml,マリ
mt,マルタ
mq,マルティニーク（仏）
my,マレーシア
im,マン島（英）
fm,ミクロネシア連邦
za,南アフリカ
mx,メキシコ
mu,モーリシャス
mr,モーリタニア
mz,モザンビーク
mc,モナコ
mv,モルディブ
md,モルドバ
ma,モロッコ
mn,モンゴル
me,モンテネグロ
ms,モントセラト（英）
yu,ユーゴスラビア
jo,ヨルダン
la,ラオス
lv,ラトビア
lt,リトアニア
ly,リビア
li,リヒテンシュタイン
lr,リベリア
ro,ルーマニア
lu,ルクセンブルク
rw,ルワンダ
ls,レソト
lb,レバノン
re,レユニオン（仏）
ru,ロシア連邦
