memberID,gender,age
1381018779,M,M3
1381018780,F,F2
1381018805,F,F2
1381018931,M,M2
1381019077,M,M2
1381019370,F,F1
1381019385,F,T
1381019665,F,F3
1381019714,F,F3
1381019747,M,M3
1381019827,M,M2
1381019915,F,F1
1381019994,F,F3
1381020377,F,F2
1381020388,M,M2
1381020397,F,F3
1381020415,F,F1
1381020518,F,T
1381020602,M,M3
1381020749,M,M2
1381020880,F,F2
1381020888,M,T
1381021014,F,F1
1381021020,F,F2
1381021195,M,M1
1381021205,M,M3
1381021220,M,M1
1381021281,M,M2
1381021378,F,F1
1381021470,F,F3
1381021522,M,M1
1381021617,M,T
1381021731,M,M2
1381021811,M,M1
1381021920,M,M1
1381022058,M,M2
1381022325,F,F3
1381022545,F,F2
1381022761,F,F3
1381022772,F,F2
1381022872,M,T
1381022928,F,F2
1381023024,M,M1
1381023200,M,T
1381023245,F,F3
1381023576,M,M2
1381023886,F,F1
1381023895,M,T
1381023931,F,F2
1381023955,F,T
1381024064,F,F3
1381024114,F,F2
1381024128,F,F1
1381024176,M,M2
1381024441,F,F3
1381024656,F,F1
1381024739,F,F3
1381024833,M,M2
1381024971,F,F2
1381025063,M,M2
1381025292,F,F2
1381025736,M,M3
1381025748,M,M3
1381025869,M,M2
1381025963,M,M2
1381025994,M,M3
1381026042,F,F3
1381026285,M,M3
1381026372,M,M3
1381026649,M,M2
1381026656,F,F3
1381026682,F,F1
1381026699,F,F1
1381026783,F,F3
1381026857,F,F2
1381026892,M,M2
1381026918,M,M2
1381026972,F,F3
1381027116,F,F2
1381027389,M,M2
1381027430,F,F1
1381027572,F,F3
1381027880,F,F1
1381028194,M,M2
1381028203,F,F3
1381028326,M,M2
1381028366,F,F2
1381028415,F,F1
1381028425,F,F1
1381028683,F,F2
1381028694,M,M2
1381028699,M,M3
1381028759,M,T
1381028891,F,F3
1381029076,M,M2
1381029215,F,F3
1381029359,F,F2
1381029445,F,F2
1381029487,F,T
1381029505,F,T
1381029512,M,M1
1381029530,F,F3
1381029591,M,T
1381029595,M,T
1381029675,F,F2
1381029705,M,T
1381029766,M,M1
1381029784,M,T
1381029813,F,T
1381029905,F,F3
1381030013,F,F2
1381030230,M,M1
1381030239,M,M2
1381030378,M,T
1381030398,M,M2
1381030418,F,T
1381030544,M,M3
1381030575,F,F2
1381030746,M,M3
1381030799,F,F3
1381030913,F,F1
1381030957,F,T
1381030967,M,M1
1381030982,F,F3
1381031002,F,F1
1381031068,M,T
1381031294,F,F3
1381031356,M,M2
1381031447,M,T
1381031462,F,F3
1381031602,F,T
1381031696,M,T
1381031832,F,F2
1381031908,F,F3
1381031974,F,F1
1381032263,F,F2
1381032476,F,F3
1381032739,F,F2
1381032817,M,T
1381032856,F,F2
1381032935,M,T
1381032950,F,F1
1381033124,F,F3
1381033177,F,F3
1381033247,F,F1
1381033280,F,F1
1381033300,F,F2
1381033390,F,T
1381033397,F,F2
1381033406,M,M2
1381033536,F,T
1381033537,F,F2
1381033539,M,M1
1381033744,M,M3
1381033821,F,T
1381034105,F,F1
1381034174,F,F3
1381034186,M,M2
1381034313,F,F2
1381034333,F,F1
1381034362,F,F1
1381034568,M,M2
1381034595,M,M1
1381034618,M,M3
1381034823,F,F2
1381034842,F,F2
1381034858,F,F2
1381034870,M,M3
1381034872,F,F3
1381035551,F,F3
1381035688,M,M2
1381035752,F,F2
1381035787,F,F1
1381036041,M,M3
1381036047,F,F2
1381036185,F,T
1381036251,F,T
1381036364,M,M2
1381036400,M,M1
1381036410,F,F1
1381036582,M,M1
1381036642,F,F1
1381036699,M,M1
1381036743,F,F3
1381036822,M,T
1381036836,M,M2
1381036848,F,F1
1381037062,F,F1
1381037473,F,F2
1381037728,M,M2
1381037820,F,F1
1381037863,F,T
1381037966,M,M2
1381038130,M,M2
1381038165,M,M2
1381038242,F,F2
1381038349,F,T
1381038364,M,M2
1381038601,M,M1
1381038663,F,F2
1381038853,F,F3
1381039042,F,T
1381039187,F,F1
1381039507,F,T
1381039589,M,T
1381039641,F,F1
1381039700,M,M2
1381039717,F,F1
1381039907,F,F2
1381039989,M,M2
1381040094,F,F2
1381040404,F,T
1381040554,F,F3
1381040871,M,M2
1381040908,F,F1
1381040996,F,F2
1381041021,F,F2
1381041137,M,M2
1381041173,M,M2
1381041189,M,M1
1381041238,F,F3
1381041603,F,F3
1381041670,M,M3
1381041817,F,F2
1381041840,M,T
1381042072,F,F1
1381042101,M,M1
1381042287,F,F2
1381042339,F,T
1381042493,F,T
1381042626,M,M1
1381042718,F,F2
1381043044,F,F2
1381043863,M,M1
1381044467,F,F1
1381045294,F,F2
1381045527,F,F3
1381045558,M,M3
1381045638,F,F2
1381045661,F,F3
1381045758,F,F3
1381045816,F,T
1381045826,F,F1
1381045891,F,F3
1381046028,F,F2
1381046092,F,F2
1381046123,M,M1
1381046141,F,F3
1381046216,F,F2
1381046247,M,T
1381046425,F,F3
1381046464,F,F2
1381046785,F,F3
1381047116,F,F2
1381047157,F,F2
1381047212,F,F3
1381047295,F,F2
1381047916,F,T
1381047957,F,F2
1381048108,F,T
1381048116,M,M1
1381048269,F,T
1381048374,M,T
1381048405,F,F2
1381048406,F,F1
1381048545,M,T
1381048553,M,M3
1381048705,F,F3
1381048803,M,M2
1381048876,F,F2
1381048929,F,F2
1381049112,M,T
1381049251,F,F1
1381049406,M,M2
1381049411,M,T
1381049522,F,F1
1381049531,F,F2
1381049743,M,M1
1381049854,F,F3
1381049968,M,M2
1381050010,M,M2
1381050077,F,F2
1381050157,F,F1
1381050438,F,F1
1381050471,F,F2
1381050612,M,M1
1381050678,M,M2
1381050847,F,F3
1381050982,F,F1
1381051092,F,F2
1381051101,M,M3
1381051119,F,F2
1381051352,M,M2
1381051416,M,M2
1381051508,F,F2
1381051549,F,F2
1381051556,F,F2
1381051666,F,F1
1381051691,F,F2
1381051854,M,M1
1381051931,F,F1
1381051966,F,F3
1381051979,M,T
1381052070,F,F2
1381052178,M,M2
1381052242,M,M3
1381052352,F,F1
1381052415,M,T
1381052448,F,F3
1381052522,F,F2
1381052528,F,F2
1381052617,F,T
1381052735,F,F2
1381052754,F,F2
1381052779,M,M3
1381052876,F,F1
1381053022,F,F3
1381053046,M,M3
1381053070,F,F2
1381053180,M,M1
1381053481,F,F2
1381053510,M,M2
1381053628,M,M1
1381053797,M,M3
1381053804,F,F3
1381053926,F,F1
1381053928,M,M1
1381054159,F,T
1381054195,M,T
1381054218,F,F2
1381054226,M,M1
1381054345,F,F1
1381054349,F,T
1381054568,M,M1
1381054631,M,M3
1381054659,F,F1
1381055000,F,T
1381055077,F,F3
1381055309,M,M2
1381055431,F,F3
1381055461,M,M2
1381055541,M,M3
1381055545,M,M2
1381056017,M,M2
1381056033,F,F3
1381056087,F,F1
1381056223,F,F2
1381056329,F,F1
1381056370,M,T
1381056522,F,F1
1381056744,F,F3
1381056794,F,F2
1381056865,M,T
1381056928,M,T
1381056965,M,T
1381056975,M,M2
1381057034,M,M3
1381057174,F,F2
1381057315,M,T
1381057482,F,F2
1381057587,M,M1
1381057590,M,M2
1381057596,F,F2
1381057649,F,F1
1381057833,F,F3
1381057975,M,M1
1381058043,F,F3
1381058182,F,F1
1381058266,M,T
1381058387,F,F2
1381058509,M,M2
1381058659,F,F2
1381058703,F,F3
1381058952,M,M2
1381059149,M,M2
1381059241,M,M2
1381059304,F,F2
1381059490,F,F2
1381059738,F,F3
1381059798,F,F1
1381059842,M,M2
1381060090,M,M2
1381060127,M,M3
1381060131,M,T
1381060291,F,F3
1381060310,F,F2
1381060334,M,M3
1381060515,M,M2
1381060594,F,T
1381060601,F,F1
1381060888,F,F2
1381060991,F,F2
1381061056,M,M3
1381061076,F,T
1381061176,M,M1
1381061287,F,F2
1381061296,F,T
1381061658,F,F2
1381061679,M,M2
1381061756,F,F2
1381061871,M,T
1381061886,M,M2
1381061894,F,F2
1381061963,F,F1
1381062124,F,T
1381062267,F,F1
1381062306,F,F1
1381062612,F,F2
1381062754,F,F2
1381062785,F,F2
1381062908,M,M3
1381062982,M,M2
1381062994,M,T
1381063139,F,F2
1381063176,F,F2
1381063197,M,M2
1381063255,F,F2
1381063265,F,F2
1381063318,M,M1
1381063601,F,F2
1381063657,M,T
1381063698,F,T
1381063748,F,F2
1381064065,F,T
1381064067,F,F2
1381064164,F,F1
1381064171,F,F1
1381064224,F,F1
1381064263,F,F1
1381064456,M,T
1381064618,F,F1
1381065005,M,T
1381065041,M,M1
1381065096,M,M3
1381065197,M,M2
1381065258,M,M3
1381065318,F,F2
1381065367,F,F1
1381065382,M,T
1381065509,F,F1
1381065567,F,T
1381065702,F,F3
1381066045,M,M2
1381066201,M,T
1381066209,M,M1
1381066318,F,F2
1381066823,M,M2
1381066904,F,F1
1381066917,M,M3
1381066925,F,F1
1381067131,F,F1
1381067181,M,M2
1381067206,F,F2
1381067209,M,T
1381067332,F,F3
1381067399,F,T
1381067464,F,F2
1381067854,F,F2
1381067893,F,F2
1381067917,F,T
1381068299,F,F2
1381068333,M,M1
1381068337,M,M3
1381068756,M,M1
1381068759,F,F3
1381068765,M,M3
1381069274,F,F2
1381069708,M,T
1381069908,M,M2
1381069969,M,M2
1381070084,F,F2
1381070575,F,T
1381070647,F,F2
1381070659,F,T
1381070848,F,F2
1381070878,F,F2
1381070929,F,F2
1381071263,F,T
1381071552,M,M1
1381071612,F,F3
1381071627,F,F1
1381071657,M,T
1381071733,M,M1
1381071900,M,M2
1381071917,F,T
1381072132,F,F1
1381072264,F,F3
1381072270,F,T
1381072739,F,F2
1381072785,F,F1
1381073322,F,F2
1381073442,M,M1
1381073556,M,T
1381073613,F,T
1381073685,F,F1
1381073947,F,F1
1381073956,M,M2
1381073965,M,M1
1381074138,F,T
1381074150,F,F1
1381074233,F,F2
1381074417,F,T
1381074489,F,F1
1381074526,F,F3
1381074530,M,M2
1381074617,F,F2
1381074630,F,F3
1381074649,F,F1
1381074776,M,M2
1381074823,M,M1
1381075060,M,M2
1381075197,F,T
1381075246,M,M1
1381075510,M,M3
1381075841,M,M1
1381075872,F,F2
1381076173,M,T
1381076255,M,T
1381076390,M,M1
1381076464,M,M3
1381076482,M,T
1381076718,F,F1
1381076865,F,F1
1381077029,F,T
1381077111,M,T
1381077176,M,M2
1381077436,F,F1
1381077529,F,F3
1381077874,F,F1
1381078138,F,F1
1381078319,F,F2
1381078406,F,T
1381078417,F,F3
1381078445,F,F1
1381078648,F,F1
1381078838,F,T
1381078932,F,T
1381079032,M,M1
1381079056,M,M1
1381079216,F,F3
1381079475,F,F2
1381079561,F,F2
1381079665,M,M3
1381079880,M,M2
1381079901,M,M2
1381079931,F,F3
1381080123,F,F1
1381080200,M,M3
1381080205,F,T
1381080237,F,F3
1381080541,F,F3
1381080641,M,M1
1381080688,M,M1
1381080908,F,F3
1381080922,F,F2
1381080947,M,M1
1381080951,F,T
1381080977,M,M2
1381081205,M,M2
1381081362,F,F2
1381081405,F,F2
1381081462,F,F1
1381081531,F,F2
1381081547,F,T
1381081576,M,M3
1381081759,M,T
1381082123,F,F3
1381082257,F,T
1381082385,F,F2
1381082511,F,F1
1381082603,F,F3
1381082663,F,F1
1381082861,F,F3
1381083342,M,M3
1381083428,F,F3
1381083578,F,F2
1381083599,F,F2
1381083679,F,F2
1381083796,F,T
1381084030,F,F2
1381084046,F,F1
1381084209,M,T
1381084430,F,F2
1381084528,M,M2
1381084661,M,M2
1381084713,M,M3
1381084823,F,F2
1381084872,F,F1
1381084973,M,M1
1381084993,F,F1
1381085021,M,T
1381085080,F,T
1381085331,M,M2
1381085334,M,M2
1381085342,M,M1
1381085484,M,M2
1381085567,M,M2
1381085741,M,M1
1381085742,M,M3
1381086161,M,M1
1381086225,F,T
1381086426,M,M2
1381086633,M,M3
1381086809,F,F2
1381086845,F,F2
1381086857,F,F1
1381086896,M,T
1381086974,M,M2
1381086987,F,F3
1381087007,M,M1
1381087047,F,F1
1381087128,F,F3
1381087201,F,F2
1381087269,F,F1
1381087386,F,T
1381087572,F,T
1381087754,F,F2
1381087893,F,F3
1381088156,F,F3
1381088453,F,T
1381088569,M,T
1381088614,F,F3
1381088953,M,T
1381088969,M,T
1381089016,M,M3
1381089026,F,F2
1381089071,F,T
1381089231,M,M1
1381089483,F,F2
1381089504,M,T
1381089526,F,F2
1381089547,M,T
1381089703,F,F1
1381089810,F,F2
1381089822,F,F2
1381090024,F,F2
1381090029,F,T
1381090114,F,F3
1381090237,F,F3
1381090299,F,F3
1381090519,M,M2
1381090577,F,F1
1381090695,M,T
1381090887,M,M2
1381090958,M,T
1381091341,F,F1
1381091436,M,M1
1381091460,F,F1
1381091551,F,F3
1381091694,M,M2
1381091703,M,M3
1381091747,F,F1
1381091909,M,M1
1381092041,M,M2
1381092066,F,F3
1381092326,F,F3
1381092465,F,F2
1381092476,M,T
1381092620,M,T
1381092761,F,F2
1381092798,F,F1
1381092860,F,T
1381093211,M,M1
1381093443,M,M2
1381093576,F,F1
1381093580,M,M3
1381093635,F,F3
1381093758,M,M2
1381094011,F,F2
1381094153,F,F1
1381094297,F,F1
1381094491,M,M1
1381095014,M,M2
1381095096,F,F1
1381095355,F,F3
1381095679,F,F2
1381095888,F,F3
1381096149,F,F1
1381096303,M,M3
1381096346,M,M3
1381096588,M,M2
1381096663,M,M2
1381096811,M,T
1381097006,M,M2
1381097111,F,F1
1381097309,F,F3
1381097427,F,T
1381097640,M,M2
1381097734,F,T
1381097832,F,F1
1381097926,F,F3
1381098016,F,T
1381098043,F,F1
1381098231,M,T
1381098382,M,M2
1381098481,F,F2
1381098807,M,M2
1381098968,F,F3
1381099111,F,T
1381099197,F,F3
1381099314,M,T
1381099748,M,M2
1381099938,M,M3
1381099951,M,M2
1381100163,M,M1
1381100203,F,T
1381100262,M,M1
1381100311,F,F1
1381100442,F,F1
1381100506,F,F2
1381100669,F,T
1381100886,M,M2
1381100978,M,M2
1381101119,F,F2
1381101139,M,M1
1381101188,F,F2
1381101236,F,T
1381101351,F,F2
1381101399,F,T
1381101477,F,F1
1381101866,M,M2
1381101966,F,F1
1381102023,F,F1
1381102081,M,M3
1381102163,F,T
1381102189,F,F2
1381102632,F,F2
1381103328,M,M3
1381103336,F,F1
1381103450,M,M2
1381103460,M,M3
1381103558,F,F2
1381103633,F,T
1381103736,F,F2
1381103840,M,M2
1381103900,F,F2
1381104132,F,F2
1381104141,F,F3
1381104285,F,F3
1381104491,F,F2
1381104644,F,F3
1381104785,F,F2
1381104878,F,F2
1381105230,M,M1
1381105304,F,F1
1381105310,M,M2
1381105353,M,M3
1381105405,M,T
1381105409,F,F2
1381105930,F,F2
1381105935,F,F2
1381106196,F,F1
1381106353,F,F3
1381106483,M,M2
1381106623,M,M3
1381106733,F,F2
1381106745,F,F3
1381107457,F,F1
1381107583,F,F3
1381107667,M,M2
1381107732,M,T
1381107775,M,M3
1381107837,M,M1
1381107901,F,F2
1381107981,F,T
1381108214,M,M2
1381108711,F,T
1381108785,F,F2
1381108886,F,F2
1381109015,F,F3
1381109022,M,T
1381109175,F,F2
1381109299,F,T
1381109371,M,T
1381109618,F,T
1381109759,F,F2
1381109852,M,M2
1381110471,F,T
1381110637,M,M3
1381110738,F,F1
1381110778,M,T
1381110850,M,M1
1381110862,M,T
1381110972,M,M2
1381111391,F,F1
1381111694,M,M3
1381111967,F,F3
1381112001,F,F3
1381112058,M,M2
1381112312,M,M1
1381112502,F,F2
1381112548,F,F2
1381112623,F,F2
1381112718,F,F2
1381112785,F,F2
1381112838,F,F2
1381112946,F,F1
1381112966,M,T
1381113069,M,M2
1381113223,F,F1
1381113431,F,F3
1381113538,F,F2
1381113600,M,M3
1381113602,M,T
1381113649,M,M3
1381114004,F,F3
1381114030,M,M2
1381114364,F,T
1381114383,F,T
1381114408,M,M2
1381114672,F,T
1381114709,F,F2
1381114769,M,M2
1381114840,M,M2
1381114889,F,F2
1381114952,F,T
1381115086,M,T
1381115161,F,F2
1381115228,F,F2
1381115265,M,M2
1381115494,M,T
1381115499,F,T
1381115557,M,M2
1381115592,F,F2
1381115679,F,F2
1381115716,M,M2
1381115718,M,M2
1381115877,M,M2
1381116037,M,M2
1381116124,F,F2
1381116183,M,M2
1381116203,F,F3
1381116406,F,F2
1381116815,F,F2
1381116900,M,M1
1381117018,F,F1
1381117273,M,M1
1381117422,F,F2
1381117457,F,F2
1381117513,F,F1
1381117627,M,M2
1381117715,F,F2
1381117831,F,T
1381117911,M,T
1381117930,F,F3
1381118008,F,F3
1381118040,F,F3
1381118208,F,T
1381118302,F,F1
1381118406,F,T
1381118467,F,F2
1381118545,F,T
1381118765,F,F2
1381118778,F,F3
1381118991,M,M2
1381119022,F,T
1381119138,M,M3
1381119243,F,F1
1381119350,F,F3
1381119410,F,T
1381119506,M,T
1381119608,M,M1
1381119656,F,F2
1381119702,M,M2
1381120014,F,F2
1381120153,F,F3
1381120202,M,M1
1381120506,F,T
1381120611,M,M3
1381120868,F,F2
1381121076,F,F2
1381121080,M,M1
1381121095,M,M2
1381121186,M,T
1381121401,F,F2
1381121437,F,F2
1381121570,F,T
1381121683,F,F2
1381121848,M,M1
1381122053,M,M3
1381122068,M,M2
1381122135,F,F3
1381122182,F,T
1381122186,M,M2
1381122187,F,F2
1381122522,M,T
1381122578,M,M2
1381122663,F,F3
1381122714,F,F1
1381123089,M,M2
1381123207,M,M1
1381123308,F,F3
1381123418,F,F2
1381123470,F,T
1381123483,F,F1
1381123518,F,F1
1381123696,F,F2
1381123704,M,T
1381123707,F,F1
1381124464,F,F1
1381124557,F,F2
1381124652,F,F2
1381124831,M,M3
1381124839,F,F3
1381124864,M,M3
1381124921,F,F1
1381124942,F,F2
1381124949,M,M1
1381124977,M,M3
1381125146,M,M3
1381125319,F,F1
1381125392,F,T
1381125652,M,M2
1381125672,F,F2
1381125690,F,F2
1381125824,M,M3
1381125877,M,M3
1381125945,M,T
1381125947,M,M1
1381126056,F,T
1381126065,M,T
1381126090,M,M3
1381126258,F,F1
1381126283,F,F3
1381126399,F,T
1381126454,M,M3
1381126523,F,F2
1381126735,M,T
1381126743,M,T
1381126744,F,F2
1381127110,F,F2
1381127223,M,M3
1381127259,M,M2
1381127636,F,F2
1381127702,M,M1
1381127704,F,F2
1381127823,F,F2
1381127986,M,M3
1381128007,F,T
1381128297,F,F2
1381128464,F,F2
1381128527,M,M2
1381128707,M,M2
1381128827,M,M1
1381128997,M,M1
1381129214,F,T
1381129321,M,M2
1381129341,M,M1
1381129444,M,M1
1381129551,F,F2
1381129605,M,T
1381129647,F,F2
1381129969,M,M2
1381130065,F,F2
1381130128,F,F3
1381130168,M,M3
1381130244,M,M2
1381130293,F,F2
1381130327,M,M3
1381130477,M,T
1381130478,F,F3
1381130614,M,T
1381130667,M,M3
1381130820,M,M3
1381131075,F,F3
1381131125,F,F2
1381131221,M,T
1381131338,F,T
1381131359,F,F1
1381131365,M,M2
1381131504,F,F1
1381131641,F,F2
1381132084,M,T
1381132163,F,F1
1381132218,F,F2
1381132711,M,T
1381132760,F,T
1381132766,M,M3
1381132836,F,F2
1381132843,F,F2
1381133141,F,F3
1381133173,F,F2
1381133343,M,M2
1381133404,F,F2
1381133408,F,F2
1381133431,M,T
1381133496,F,T
1381133630,F,F2
1381133696,M,M2
1381133734,F,F3
1381133813,F,F2
1381133864,F,F1
1381134021,M,M2
1381134180,M,M2
1381134267,F,T
1381134269,M,M1
1381134276,F,F3
1381134284,M,T
1381134359,F,F1
1381134401,M,M2
1381134561,M,M3
1381134677,F,F2
1381134703,M,M2
1381134708,F,F2
1381134875,M,T
1381135184,M,T
1381135205,M,T
1381135247,M,M2
1381135422,F,F2
1381135423,F,T
1381135424,F,T
1381135478,M,T
1381135861,F,F3
1381136228,M,M2
1381136258,M,M1
1381136320,F,F2
1381136324,F,T
1381136339,F,F2
1381136432,F,F2
1381136907,M,M2
1381137041,M,M1
1381137087,F,F3
1381137162,F,T
1381137200,M,M2
1381137304,F,F1
1381137388,F,F2
1381137433,F,F2
1381137527,M,M1
1381137580,F,F2
1381137623,F,T
1381137697,M,M3
1381137745,F,F3
1381137747,F,F1
1381137845,F,F3
1381137891,M,T
1381137935,F,F1
1381138025,F,F2
1381138083,F,F3
1381138099,F,T
1381138101,F,F1
1381138159,M,M2
1381138190,F,T
1381138326,F,T
1381138589,F,F3
1381138596,F,F2
1381138749,F,T
1381138850,F,F2
1381138870,F,F1
1381138885,F,F2
1381139169,M,T
1381139260,M,M2
1381139380,F,T
1381139389,M,T
1381139545,F,F1
1381139796,F,F3
1381139878,F,F2
1381139887,F,F3
1381140321,F,F3
1381140332,F,F2
1381140870,M,M1
1381140884,M,M2
1381140994,F,F2
1381141242,F,F1
1381141298,M,T
1381141302,F,T
1381141351,F,T
1381141435,F,F3
1381141490,M,M2
1381141636,F,F1
1381141698,F,F1
1381142119,F,F1
1381142144,F,F1
1381142200,F,F3
1381142201,M,M3
1381142333,F,T
1381142452,M,M2
1381142572,F,F3
1381142849,M,T
1381142906,M,T
1381142967,M,M2
1381143184,F,F1
1381143202,F,F1
1381143309,M,T
1381143618,F,F2
1381143633,M,M2
1381143733,M,M1
1381143768,F,F3
1381143816,M,M2
1381143847,F,F3
1381143851,F,F2
1381143974,F,F2
1381144100,F,F2
1381144130,F,T
1381144449,M,M2
1381144629,M,M1
1381144672,M,M2
1381144719,F,T
1381144731,F,F2
1381144743,M,M1
1381144757,F,F2
1381144787,F,T
1381144851,F,F2
1381144947,M,T
1381145251,M,M2
1381145343,F,T
1381145445,M,M2
1381145448,F,F2
1381145510,F,T
1381145648,F,F2
1381145870,M,M3
1381145901,F,F2
1381145904,F,F1
1381146011,F,F1
1381146016,M,M1
1381146121,M,T
1381146229,F,F1
1381146301,F,F2
1381146333,M,T
1381146371,F,T
1381146870,M,M2
1381146959,F,T
1381147141,M,M2
1381147331,F,F3
1381147369,M,M2
1381147507,M,M1
1381147556,F,F1
1381147694,F,F3
1381147839,F,F3
1381148021,M,M2
1381148058,F,F2
1381148349,F,T
1381148404,M,T
1381148540,M,M2
1381148563,M,M1
1381148570,M,M2
1381148672,F,F2
1381148787,M,M3
1381148926,F,T
1381148982,F,F3
1381148990,F,F3
1381149016,F,F2
1381149145,F,T
1381149153,F,T
1381149512,F,T
1381149686,M,M2
1381149753,F,T
1381149848,F,F2
1381150041,M,T
1381150050,F,F2
1381150208,F,F3
1381150324,M,M2
1381150524,F,T
1381150849,F,F2
1381150857,F,F1
1381150862,M,T
1381150867,F,F3
1381150873,M,M3
1381150955,F,T
1381151306,F,F3
1381151431,F,F1
1381151476,M,T
1381151565,M,M2
1381151636,F,F1
1381151774,F,F2
1381151902,F,F2
1381151966,M,M1
1381152045,M,T
1381152143,M,T
1381152348,F,T
1381152482,F,T
1381152668,M,M3
1381152687,M,M3
1381152800,M,M2
1381152930,M,T
1381152972,M,T
1381152996,F,F3
1381153475,F,F3
1381153552,M,M2
1381153636,F,F1
1381153714,F,F2
1381153835,M,M2
1381153987,M,M1
1381154278,F,F2
1381154329,F,F2
1381154353,F,F1
1381154397,F,F2
1381154469,F,F2
1381154608,F,F1
1381154703,F,F2
1381154762,F,F2
1381154852,M,T
1381154953,M,M2
1381155057,M,M2
1381155173,F,F3
1381155205,M,T
1381155286,F,F2
1381155310,F,F2
1381155341,F,F2
1381155579,M,M3
1381155601,F,F1
1381155608,F,F2
1381155748,M,M1
1381155754,M,M2
1381155831,F,F3
1381155903,F,F2
1381156179,M,M2
1381156272,F,F2
1381156278,M,M3
1381156402,M,T
1381156511,F,F2
1381156546,F,F2
1381156603,M,M3
1381156639,F,F3
1381156677,M,T
1381156764,F,T
1381156925,F,F2
1381157047,F,T
1381157068,F,F2
1381157247,M,M1
1381157477,M,M1
1381157851,M,M3
1381157919,F,T
1381158112,M,T
1381158580,M,T
1381158977,F,F1
1381159176,M,M2
1381159232,F,F1
1381159554,M,M2
1381159651,M,M2
1381159761,M,M2
1381159783,M,M3
1381159847,F,F3
1381159863,F,F3
1381159915,M,T
1381159954,F,F3
1381160477,F,F2
1381160548,F,F1
1381160864,F,F1
1381161311,F,T
1381161424,M,T
1381161553,F,F3
1381161628,M,T
1381161719,M,T
1381162195,M,T
1381162231,M,M3
1381162442,M,T
1381162483,F,T
1381162518,F,F1
1381162607,M,T
1381162744,F,F2
1381162764,F,F1
1381162844,F,F3
1381162848,F,F3
1381162931,M,M3
1381162938,F,F2
1381163172,F,F2
1381163297,F,F3
1381163449,M,M3
1381163457,F,F3
1381163501,F,F3
1381163557,M,T
1381163599,F,T
1381163609,F,F3
1381163665,F,T
1381163819,F,F3
1381163928,F,F2
1381163973,F,F2
1381163992,M,T
1381164076,F,F2
1381164160,M,T
1381164242,M,T
1381164347,F,F2
1381164561,M,M2
1381164567,F,T
