id,type,selector,posX,posY,isActivate,title,text,title_jap,text_jap
18,paths,.pathCJPaths,left,bottom,1,path to cv',This contents shows the list of the mostly frequent paths as descendent order.',CVパス,ユーザーの行動パターンを可視化します。着目したいイベントや複数のイベントをグルーピングする設定を複数登録しておき、それらを選択することで様々な視点で行動パターンを可視化できます。全てのユーザーの全てのパスを集計しCVしたUU数の多いパターン順に10件ずつ表示されます。
19,paths,.helper-tp-forward-reverse,left,bottom,1,'path order','If you choose "reverse"',パスの視点と方向,'Forward: 初回接触から時間順に行動パターンを表示します。全てのユーザーの全てのパスパターンを表示します。Backword:初回CVを起点にし時間を逆方向に指定の深さまで集計し発生時間順に表示します。この場合CVしたユーザーだけが対象になります。初回接触から順にご覧になるか、初回CVまでご覧になるかをご選択下さい。'
20,paths,.helper-tp-stop-cv,left,bottom,1,till CV/end',"Do you want to see till CV? or you want to see as long as the path length"" is specified.'""",CV直前まで/最後まで',CV直前まで、またはCVも含みパスパターンの終わり（指定の深さ）までかを選択します。
21,paths,.helper-tp-def,left,bottom,1,path spec',We can set a very flexible touch point definition as you want to see.',パス構成条件',現在設定されているパスの構成条件（着目したい行動イベントやそれぞれの表現など）の詳細を表示します。パスの構成条件の追加や編集には管理者権限が必要です。
22,paths,.helper-path-len,left,bottom,1,path length',How many touch point in one path at max do you want to see?',構成するパスの長さ',パスの長さを１～20までで指定できます。
23,paths,.helper-tp-target,left,bottom,1,"1st/all, last/all'","Do you want to query by keywords only to 1st/last"" touch pints? Or to ""all""?'""",絞込みフィルタ,キーワードを含むパスパターンだけを表示するためのフィルターです
24,paths,.helper-keyword-search,left,bottom,1,keywords',Input the keywords you want to query.',キーワードボックス','指定キーワードを含むパスだけに絞り込むことができます。スペース区切りで複数ワードを入れるとor検索が出来ます。場所の条件("全範囲/先頭のみ/最後のみ")も選択して下さい。'
25,paths,.path_dist_options,left,bottom,1,distributions bin',Select bin from event/days/imp',詳細分布,'各パスパターンを持つユーザーセグメント毎に初回接触からCVまでの"イベント/日数/インプ/クリック"数の最大最小平均値を表示します。'
26,paths,.path_dl_csv,left,bottom,1,path download',Download all path results.',ダウンロード',全てのパスパターンをダウンロードできます。
27,paths,.path_detail_open_sample,left,bottom,1,sample viewer',This sample viewer is a one user log who is randomly picked up from people who took the path.',サンプル,該当のパスのユーザーのうち1人のログ全件をサンプルとして表示します。（CVユーザーを優先的に表示）
28,paths,.path_detail_dl_csv,left,bottom,1,log download',Download all logs of people who took the path.',ログダウンロード',該当パスパターンを持つ全ユーザーのログをダウンロードできます。
29,paths,.path_detail_open_popup,left,bottom,1,popup detail',It will popup the detail analysis panel.',ドリルダウン,該当パスのパターンを持つユーザーセグメントに絞り、詳細集計を行うことができます。
